asset_id,tag,unit,lower_limit,target,upper_limit,baseline_method,alert_severity_if_exceeded
CR-01,speed_rpm,rpm,540.0,750.0,920.0,Engineering baseline + statistical envelope,"Warning above target, Critical above upper limit"
CR-01,energy_kwh,kWh/4h,180.0,300.0,420.0,Engineering baseline + statistical envelope,"Warning above target, Critical above upper limit"
CR-01,ch4_pct,%,0.0,0.05,0.1,Engineering baseline + statistical envelope,"Warning above target, Critical above upper limit"
CP-01,motor_current_A,A,70.0,120.0,165.0,Engineering baseline + statistical envelope,"Warning above target, Critical above upper limit"
CP-01,hydraulic_pressure_bar,bar,5.8,7.2,8.7,Engineering baseline + statistical envelope,"Warning above target, Critical above upper limit"
CP-01,oil_temperature_C,°C,38.0,60.0,74.0,Engineering baseline + statistical envelope,"Warning above target, Critical above upper limit"
CP-01,vibration_mm_s,mm/s,0.8,2.4,4.0,Engineering baseline + statistical envelope,"Warning above target, Critical above upper limit"
CP-01,utilisation_pct,%,35.0,68.0,90.0,Engineering baseline + statistical envelope,"Warning above target, Critical above upper limit"
CP-01,speed_rpm,rpm,980.0,1450.0,1800.0,Engineering baseline + statistical envelope,"Warning above target, Critical above upper limit"
CP-01,energy_kwh,kWh/4h,90.0,165.0,245.0,Engineering baseline + statistical envelope,"Warning above target, Critical above upper limit"
CP-01,ch4_pct,%,0.0,0.05,0.1,Engineering baseline + statistical envelope,"Warning above target, Critical above upper limit"
EM-01,motor_current_A,A,0.0,0.0,0.0,Engineering baseline + statistical envelope,"Warning above target, Critical above upper limit"
EM-01,hydraulic_pressure_bar,bar,0.0,0.0,0.0,Engineering baseline + statistical envelope,"Warning above target, Critical above upper limit"
EM-01,oil_temperature_C,°C,25.0,31.0,40.0,Engineering baseline + statistical envelope,"Warning above target, Critical above upper limit"
EM-01,vibration_mm_s,mm/s,0.0,0.0,0.0,Engineering baseline + statistical envelope,"Warning above target, Critical above upper limit"
EM-01,utilisation_pct,%,0.0,0.0,0.0,Engineering baseline + statistical envelope,"Warning above target, Critical above upper limit"
EM-01,speed_rpm,rpm,0.0,0.0,0.0,Engineering baseline + statistical envelope,"Warning above target, Critical above upper limit"
EM-01,energy_kwh,kWh/4h,600.0,920.0,1250.0,Engineering baseline + statistical envelope,"Warning above target, Critical above upper limit"
EM-01,ch4_pct,%,0.0,0.0,0.0,Engineering baseline + statistical envelope,"Warning above target, Critical above upper limit"
EMS-01,motor_current_A,A,0.0,0.0,0.0,Engineering baseline + statistical envelope,"Warning above target, Critical above upper limit"
EMS-01,hydraulic_pressure_bar,bar,0.0,0.0,0.0,Engineering baseline + statistical envelope,"Warning above target, Critical above upper limit"
EMS-01,oil_temperature_C,°C,20.0,29.0,36.0,Engineering baseline + statistical envelope,"Warning above target, Critical above upper limit"
EMS-01,vibration_mm_s,mm/s,0.0,0.0,0.0,Engineering baseline + statistical envelope,"Warning above target, Critical above upper limit"
EMS-01,utilisation_pct,%,0.0,0.0,0.0,Engineering baseline + statistical envelope,"Warning above target, Critical above upper limit"
EMS-01,speed_rpm,rpm,0.0,0.0,0.0,Engineering baseline + statistical envelope,"Warning above target, Critical above upper limit"
EMS-01,energy_kwh,kWh/4h,12.0,24.0,42.0,Engineering baseline + statistical envelope,"Warning above target, Critical above upper limit"
EMS-01,ch4_pct,%,0.05,0.32,0.85,Engineering baseline + statistical envelope,"Warning above target, Critical above upper limit"
