work_order_id,asset_id,event_date,event_type,fault_category,action_taken,downtime_hours,cost_estimate,technician_notes,status
WO-CM-01-004,CM-01,2025-08-06,Planned inspection,Hydraulics / drive train,Planned inspection performed on Continuous Miner 01; condition data reviewed.,0.8,15624,Findings logged; trend monitored against engineering baseline.,Completed
WO-DMS-01-014,DMS-01,2025-07-31,Corrective action,Drive / bearings,Corrective action performed on DMS Drum 01; condition data reviewed.,3.3,43281,Findings logged; trend monitored against engineering baseline.,In Progress
WO-CP-01-020,CP-01,2025-07-29,Condition-based maintenance,Air end / cooling,Condition-based maintenance performed on Compressor 01; condition data reviewed.,8.2,65781,Findings logged; trend monitored against engineering baseline.,In Progress
WO-CR-01-017,CR-01,2025-07-27,Lubrication / service,Bearings / liners,Lubrication / service performed on Crusher 01; condition data reviewed.,3.3,34886,Findings logged; trend monitored against engineering baseline.,In Progress
WO-CP-01-021,CP-01,2025-07-16,Corrective action,Air end / cooling,Corrective action performed on Compressor 01; condition data reviewed.,0.5,28465,Findings logged; trend monitored against engineering baseline.,In Progress
WO-EMS-01-031,EMS-01,2025-07-16,Condition-based maintenance,Sensors / calibration,Condition-based maintenance performed on Underground EMS 01; condition data reviewed.,4.7,24732,Findings logged; trend monitored against engineering baseline.,In Progress
WO-VF-01-009,VF-01,2025-07-04,Planned inspection,Bearings / imbalance,Planned inspection performed on Ventilation Fan 01; condition data reviewed.,8.1,46482,Findings logged; trend monitored against engineering baseline.,In Progress
WO-DMS-01-015,DMS-01,2025-07-01,Condition-based maintenance,Drive / bearings,Condition-based maintenance performed on DMS Drum 01; condition data reviewed.,7.8,30854,Findings logged; trend monitored against engineering baseline.,In Progress
WO-TC-01-007,TC-01,2025-06-25,Corrective action,Bearings / belt,Corrective action performed on Trunk Conveyor 01; condition data reviewed.,0.8,5000,Findings logged; trend monitored against engineering baseline.,Scheduled
WO-EM-01-026,EM-01,2025-06-07,Corrective action,Metering / calibration,Corrective action performed on Energy Meter 01; condition data reviewed.,1.8,44575,Findings logged; trend monitored against engineering baseline.,Scheduled
WO-EMS-01-030,EMS-01,2025-06-04,Planned inspection,Sensors / calibration,Planned inspection performed on Underground EMS 01; condition data reviewed.,2.4,34824,Findings logged; trend monitored against engineering baseline.,In Progress
